"id","title","content","published","created"
7,"Pikachu","Electric",True,"2025-05-01 15:48:59.103154+05:30"
8,"Gengar","Ghost",True,"2025-05-01 15:48:59.103154+05:30"
9,"Charizard","Fire/Flying",True,"2025-05-01 15:48:59.103154+05:30"
10,"Snorlax","Normal",True,"2025-05-01 15:48:59.103154+05:30"
11,"Lucario","Fighting/Steel",True,"2025-05-01 15:48:59.103154+05:30"
12,"Gardevoir","Psychic/Fairy",True,"2025-05-01 15:48:59.103154+05:30"
13,"Salamence","Dragon/Flying",True,"2025-05-01 15:48:59.103154+05:30"
14,"Togekiss","Fairy/Flying",True,"2025-05-01 15:48:59.103154+05:30"
15,"Infernape","Fire/Fighting",True,"2025-05-01 15:48:59.103154+05:30"
16,"Tyranitar","Rock/Dark",True,"2025-05-01 15:48:59.103154+05:30"
17,"Greninja","Water/Dark",True,"2025-05-01 15:48:59.103154+05:30"
